ticker,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
KR5102314204,0.066,0.062,-0.045,0.183,0.001,0.001,10311.0,2345.0,1.01
KR5102314352,0.058,0.06,-0.053,0.169,0.001,0.001,9759.0,2857.0,1.0
KR5102314212,0.1,0.259,-0.394,0.571,0.003,0.005,9309.0,2717.0,1.0
KR5101753360,0.182,0.253,-0.299,0.673,0.002,0.004,10647.0,2713.0,1.0
KR5234769887,0.072,0.361,-0.599,0.747,0.004,0.006,8425.0,2838.0,1.0
KR5101888398,0.088,0.03,0.035,0.148,0.0,0.0,9180.0,2263.0,1.0
KR5209950314,0.224,0.196,-0.152,0.586,0.002,0.002,8975.0,2404.0,1.0
KR5225A89035,0.16,0.138,-0.1,0.422,0.002,0.002,8131.0,2362.0,1.0
KR5102A54345,0.171,0.369,-0.529,0.854,0.004,0.006,9337.0,2956.0,1.0
KR5364AH9467,0.394,0.184,0.049,0.729,0.002,0.002,8872.0,2992.0,1.0
KR5235AK9691,0.289,0.181,-0.037,0.633,0.002,0.002,10300.0,2254.0,1.0
KR5213AI2357,0.201,0.18,-0.138,0.545,0.002,0.002,10206.0,2750.0,1.0
KR5301AK5995,0.129,0.118,-0.086,0.345,0.001,0.001,9464.0,2919.0,1.0
KR5303AL4276,0.141,0.158,-0.16,0.431,0.002,0.002,9709.0,2667.0,1.0
KR5235A52511,0.289,0.167,-0.015,0.617,0.002,0.002,9514.0,2629.0,1.0
KR5236AN0936,0.199,0.172,-0.12,0.518,0.002,0.002,10566.0,2658.0,1.0
KR5235A52578,-0.041,0.232,-0.482,0.372,0.002,0.004,10078.0,2546.0,1.0
KR5235AK9774,0.058,0.325,-0.545,0.675,0.003,0.005,9250.0,3091.0,1.0
KR5301AL4401,0.238,0.322,-0.341,0.854,0.003,0.005,9418.0,2808.0,1.0
KR5301AK6274,0.22,0.202,-0.151,0.599,0.002,0.002,10858.0,2626.0,1.0
KR5370AP9956,0.067,0.081,-0.078,0.228,0.001,0.001,8496.0,2520.0,1.0
KR5365AJ4440,0.136,0.241,-0.305,0.607,0.003,0.004,8764.0,2601.0,1.0
KR5230AR3486,0.174,0.138,-0.086,0.435,0.001,0.002,9489.0,2804.0,1.0
KR5235AK9808,0.237,0.081,0.086,0.386,0.001,0.001,9211.0,2970.0,1.0
KR5236AS4826,0.103,0.072,-0.037,0.232,0.001,0.001,8763.0,3071.0,1.0
KR5105AH6400,0.03,0.247,-0.417,0.498,0.002,0.005,10193.0,2979.0,1.0
KR5235A52487,0.331,0.263,-0.142,0.836,0.003,0.003,8499.0,2671.0,1.0
KR5301AT1938,0.196,0.245,-0.253,0.664,0.002,0.003,10544.0,2201.0,1.0
KR5301AT1987,0.036,0.069,-0.094,0.165,0.001,0.001,10358.0,2916.0,1.0
KR5232AT9794,0.019,0.081,-0.137,0.165,0.001,0.001,10241.0,2981.0,1.0
KR5207AW8081,0.049,0.049,-0.042,0.14,0.001,0.001,8987.0,3025.0,1.0
K55105B00871,-0.029,0.287,-0.568,0.506,0.003,0.006,10674.0,2755.0,1.0
KR5101AT3522,0.091,0.185,-0.247,0.447,0.002,0.003,8482.0,2884.0,1.0
K55235B04308,0.217,0.147,-0.061,0.487,0.001,0.001,9969.0,3024.0,1.0
K55235B40039,0.643,0.297,0.063,1.195,0.003,0.003,8086.0,2138.0,1.0
K55301B47299,0.145,0.246,-0.301,0.59,0.002,0.004,10115.0,3130.0,1.0
K55301B51572,0.304,0.143,0.03,0.571,0.002,0.001,8368.0,2859.0,1.0
K55301B58643,0.674,0.41,-0.106,1.436,0.004,0.004,9676.0,2469.0,1.0
K55301B09117,-0.141,0.251,-0.605,0.326,0.002,0.004,10655.0,3187.0,1.0
K55301BA7040,0.329,0.143,0.044,0.582,0.002,0.001,8727.0,3042.0,1.0
K55235B96163,0.45,0.231,0.012,0.877,0.002,0.002,9058.0,2847.0,1.0
K55101BD5217,0.314,0.189,-0.035,0.662,0.002,0.002,8367.0,2546.0,1.0
K55363BC7076,0.095,0.048,0.002,0.183,0.0,0.0,10145.0,2194.0,1.0
K55307BC6945,0.268,0.285,-0.265,0.818,0.003,0.004,9558.0,2422.0,1.0
K55236BG3001,0.133,0.063,0.022,0.256,0.001,0.001,8290.0,2789.0,1.0
K55105BG6945,0.13,0.225,-0.294,0.555,0.002,0.003,8250.0,2542.0,1.0
K55105BG6960,0.136,0.201,-0.251,0.51,0.002,0.003,8623.0,2925.0,1.0
K55209BG6221,0.128,0.17,-0.202,0.435,0.002,0.003,7652.0,2679.0,1.0
K55236BG3274,0.079,0.193,-0.273,0.448,0.002,0.003,9395.0,2725.0,1.0
K55105BG6820,0.065,0.051,-0.03,0.159,0.001,0.001,7826.0,3102.0,1.0
KR5101AT3589,0.145,0.12,-0.077,0.376,0.001,0.001,9041.0,2595.0,1.0
K55105BH1010,0.15,0.146,-0.113,0.43,0.001,0.002,9916.0,2997.0,1.0
K55102BJ9261,0.152,0.098,-0.04,0.333,0.001,0.001,9447.0,2925.0,1.0
K55301BM8051,0.14,0.084,-0.025,0.289,0.001,0.001,10278.0,2890.0,1.0
K55301BM7459,0.233,0.131,-0.001,0.496,0.001,0.001,9199.0,3329.0,1.0
K55301BM7640,0.217,0.123,-0.021,0.434,0.001,0.001,7989.0,2716.0,1.0
K55301BM7574,0.239,0.14,-0.021,0.498,0.001,0.001,9303.0,2715.0,1.0
K55301BM7731,0.178,0.097,0.001,0.362,0.001,0.001,8694.0,2972.0,1.0
K55306BO8724,0.359,0.249,-0.123,0.794,0.003,0.003,9532.0,2959.0,1.0
K55236BG3266,0.044,0.031,-0.018,0.099,0.0,0.0,9192.0,2617.0,1.0
K55214B30803,0.07,0.029,0.013,0.124,0.0,0.0,9918.0,2780.0,1.0
K55223BT1096,0.114,0.085,-0.044,0.276,0.001,0.001,9727.0,2990.0,1.0
K55105BS5067,0.13,0.125,-0.099,0.37,0.001,0.002,8392.0,2725.0,1.0
K55105BS5059,0.14,0.131,-0.1,0.388,0.001,0.002,8165.0,3224.0,1.0
K55223BT1450,0.174,0.103,-0.02,0.372,0.001,0.001,9162.0,2471.0,1.0
K55223BT1922,0.213,0.124,-0.016,0.455,0.001,0.001,9283.0,2719.0,1.01
K55228BT5076,-0.032,0.112,-0.244,0.177,0.001,0.002,7674.0,2958.0,1.0
K55105BS2072,0.096,0.103,-0.096,0.292,0.001,0.001,9421.0,2487.0,1.0
K55207BT6277,0.197,0.222,-0.214,0.617,0.003,0.003,7674.0,2698.0,1.0
K55223BT1278,0.138,0.092,-0.04,0.306,0.001,0.001,8934.0,3067.0,1.01
K55223BT1757,0.193,0.11,-0.021,0.397,0.001,0.001,8681.0,2826.0,1.0
K55210BU2450,0.191,0.107,0.002,0.398,0.001,0.001,9131.0,2971.0,1.0
K55301BU4175,0.046,0.023,0.004,0.087,0.0,0.0,8418.0,2929.0,1.0
K55210BU2435,0.188,0.106,-0.011,0.386,0.001,0.001,8708.0,2638.0,1.0
K55301BV3002,0.164,0.178,-0.158,0.512,0.002,0.002,9325.0,2547.0,1.0
K55209BT8966,0.085,0.05,-0.004,0.179,0.001,0.0,9460.0,2789.0,1.0
KR5101AT3548,-0.059,0.15,-0.348,0.214,0.002,0.003,8001.0,2337.0,1.0
K55229BT3864,0.044,0.022,0.002,0.084,0.0,0.0,9043.0,2496.0,1.0
K55301BU3011,0.003,0.085,-0.151,0.167,0.001,0.002,8645.0,2534.0,1.0
K55105BH0889,0.029,0.027,-0.024,0.076,0.0,0.0,8857.0,2768.0,1.0
K55105BH0970,0.121,0.121,-0.113,0.341,0.001,0.001,9366.0,2810.0,1.0
K55105BS8111,0.38,0.292,-0.17,0.938,0.003,0.003,7804.0,2603.0,1.0
K55105BS8129,0.581,0.263,0.078,1.059,0.003,0.002,10464.0,3150.0,1.0
K55101BT7397,0.179,0.136,-0.068,0.435,0.001,0.002,9171.0,2812.0,1.0
K55301BU6253,0.244,0.136,-0.015,0.495,0.001,0.001,9592.0,2782.0,1.0
K55105BU1161,0.098,0.105,-0.091,0.301,0.001,0.001,8666.0,2784.0,1.0
K55210BU2385,0.122,0.087,-0.037,0.292,0.001,0.001,9469.0,2544.0,1.0
K55301BV3085,0.099,0.093,-0.071,0.28,0.001,0.001,7691.0,2609.0,1.0
KR5223AE3357,0.085,0.203,-0.328,0.442,0.002,0.003,9866.0,2846.0,1.0
K55370BU1755,0.423,0.285,-0.071,0.982,0.003,0.003,9036.0,2652.0,1.0
K55301BU5479,0.248,0.141,-0.006,0.522,0.002,0.001,8873.0,3142.0,1.0
K55207BU0715,0.202,0.233,-0.231,0.632,0.003,0.003,8615.0,2813.0,1.0
K55365BT3694,0.278,0.212,-0.122,0.664,0.002,0.002,8734.0,2698.0,1.0
K55370BU1979,0.037,0.067,-0.084,0.17,0.001,0.001,10159.0,3177.0,1.0
K55207BU0681,0.04,0.057,-0.066,0.147,0.001,0.001,8799.0,3051.0,1.0
K55301BU6113,0.183,0.103,-0.004,0.383,0.001,0.001,10668.0,2604.0,1.0
K55210BT8575,0.031,0.059,-0.081,0.138,0.001,0.001,9045.0,2940.0,1.0
K55105BT9936,0.125,0.119,-0.095,0.35,0.001,0.002,9451.0,2815.0,1.0
K55101BT4394,0.14,0.119,-0.074,0.369,0.001,0.001,8652.0,3241.0,1.0
K55105BT9910,0.143,0.129,-0.101,0.374,0.001,0.001,9803.0,3138.0,1.0
K55306BT9453,0.123,0.448,-0.724,0.935,0.005,0.008,8659.0,2700.0,1.0
K55102BT2124,0.047,0.021,0.009,0.09,0.0,0.0,8171.0,2788.0,1.0
K55102BT2108,0.05,0.022,0.008,0.091,0.0,0.0,8610.0,2886.0,1.0
K55101BT4402,0.146,0.119,-0.062,0.388,0.001,0.001,9553.0,2699.0,1.0
K55101BT4428,0.163,0.13,-0.094,0.395,0.001,0.002,8409.0,2977.0,1.0
K55101BT4436,0.18,0.138,-0.086,0.436,0.001,0.002,8929.0,2861.0,1.0
K55210BU2419,0.181,0.107,-0.018,0.386,0.001,0.001,8194.0,2896.0,1.0
K55101BT4444,0.184,0.139,-0.069,0.45,0.001,0.002,9447.0,2437.0,1.0
K55306BT9511,0.357,0.254,-0.117,0.828,0.003,0.003,7370.0,2750.0,1.0
K55366BU9614,0.364,0.339,-0.264,1.022,0.004,0.004,9223.0,2968.0,1.0
K55301BU6139,0.223,0.124,-0.007,0.458,0.001,0.001,9101.0,3230.0,1.0
K55207BT8034,0.308,0.32,-0.326,0.886,0.004,0.004,7958.0,2623.0,1.0
K55234BW7319,0.031,0.051,-0.064,0.126,0.001,0.001,8713.0,2440.0,1.0
KR5101AT3514,0.053,0.138,-0.212,0.3,0.002,0.002,8309.0,3185.0,1.0
K55366BU9705,0.388,0.539,-0.679,1.346,0.006,0.008,8119.0,2975.0,1.0
K55301BV3143,0.018,0.066,-0.104,0.145,0.001,0.001,9261.0,2720.0,1.0
K55235BW6799,0.242,0.302,-0.29,0.858,0.003,0.004,9267.0,2769.0,1.0
K55107BU0252,0.069,0.03,0.01,0.125,0.0,0.0,10013.0,2799.0,1.0
K55107BU0237,0.334,0.357,-0.348,0.974,0.004,0.005,8356.0,2840.0,1.0
KR5101AT3571,0.191,0.179,-0.142,0.531,0.002,0.002,9438.0,2378.0,1.0
K55301BV3101,0.057,0.068,-0.075,0.179,0.001,0.001,9352.0,3010.0,1.0
K55301BV3044,0.124,0.12,-0.101,0.351,0.001,0.001,9470.0,2776.0,1.0
K55206BW7669,0.116,0.141,-0.152,0.384,0.001,0.002,10155.0,2956.0,1.0
K55303BT4135,0.372,0.343,-0.322,0.972,0.003,0.004,9825.0,2996.0,1.0
K55301BU5453,0.105,0.088,-0.067,0.263,0.001,0.001,9144.0,2649.0,1.0
K55232BU5739,-0.015,0.088,-0.176,0.154,0.001,0.002,9237.0,2313.0,1.0
K55223BW3824,0.087,0.156,-0.211,0.374,0.002,0.002,8357.0,2847.0,1.0
KR5101AT3563,0.022,0.048,-0.065,0.113,0.001,0.001,8797.0,2940.0,1.0
K55303BT4176,0.374,0.389,-0.378,1.093,0.004,0.005,8534.0,3067.0,1.0
K55101BZ1079,0.183,0.148,-0.092,0.466,0.002,0.002,8266.0,3089.0,1.0
K55207BU0699,0.036,0.058,-0.072,0.145,0.001,0.001,8573.0,3126.0,1.0
K55101BX0164,0.445,0.502,-0.485,1.366,0.006,0.007,8112.0,2723.0,1.01
K55102C00520,0.121,0.475,-0.716,1.036,0.005,0.008,8362.0,2966.0,1.0
KR5101AU0509,0.049,0.071,-0.089,0.179,0.001,0.001,8753.0,2622.0,1.0
K55102C00306,0.458,0.321,-0.151,1.052,0.003,0.004,8398.0,3119.0,1.0
K55234BY9966,0.401,0.239,-0.047,0.863,0.002,0.002,9526.0,2742.0,1.0
K55206C11278,0.078,0.029,0.023,0.131,0.0,0.0,8443.0,2920.0,1.0
K55102C13374,0.02,0.059,-0.087,0.133,0.001,0.001,9391.0,2901.0,1.0
K55223C05630,0.526,0.339,-0.123,1.165,0.004,0.004,7961.0,2591.0,1.0
K55206BU2555,0.319,0.29,-0.221,0.875,0.003,0.003,8461.0,3168.0,1.0
K55102BT6562,0.035,0.158,-0.252,0.342,0.002,0.003,8292.0,2986.0,1.0
K55214B25852,0.075,0.027,0.025,0.125,0.0,0.0,8656.0,3032.0,1.0
K55213C51049,0.165,0.115,-0.047,0.384,0.001,0.001,8735.0,2749.0,1.0
K55301C62528,0.248,0.352,-0.435,0.902,0.004,0.005,8911.0,2368.0,1.0
K55213C51262,0.128,0.112,-0.07,0.354,0.001,0.001,7201.0,3050.0,1.0
K55213C51874,0.219,0.12,-0.017,0.432,0.001,0.001,8693.0,2748.0,1.0
K55213C50546,0.089,0.103,-0.101,0.289,0.001,0.001,7564.0,2744.0,1.0
K55213C50686,0.228,0.122,-0.004,0.446,0.001,0.001,7648.0,2528.0,1.0
K55203C53681,0.253,0.259,-0.241,0.74,0.003,0.003,7837.0,2795.0,1.0
K55223C89204,-0.046,0.512,-1.005,0.903,0.006,0.009,7541.0,2677.0,1.0
K55213C51890,0.218,0.122,-0.025,0.434,0.001,0.001,7674.0,2911.0,1.0
K55213C50702,0.228,0.121,-0.006,0.454,0.001,0.001,8837.0,2748.0,1.0
K55213C51718,0.196,0.12,-0.018,0.427,0.001,0.001,7616.0,2565.0,1.0
K55102C83120,0.305,0.373,-0.44,0.95,0.004,0.005,9099.0,3134.0,1.0
K55232C70312,0.125,0.36,-0.51,0.846,0.004,0.006,8648.0,2825.0,1.0
K55213C51064,0.164,0.117,-0.049,0.393,0.001,0.001,9434.0,2635.0,1.0
K55229BX9378,0.19,0.166,-0.124,0.497,0.002,0.002,10010.0,2721.0,1.0
K55206C96311,0.164,0.125,-0.076,0.398,0.001,0.001,7858.0,3125.0,1.0
K55206C96121,0.173,0.129,-0.058,0.418,0.001,0.001,7980.0,2909.0,1.0
K55206C95800,0.15,0.125,-0.076,0.382,0.001,0.001,9213.0,3046.0,1.0
K55206C95974,0.16,0.13,-0.085,0.402,0.001,0.002,9516.0,2737.0,1.0
K55301CC8789,0.174,0.102,-0.022,0.357,0.001,0.001,9369.0,2596.0,1.01
K55214CD4809,0.065,0.039,-0.009,0.139,0.0,0.0,7809.0,2965.0,1.0
K55301CH3249,0.069,0.013,0.044,0.093,0.0,0.0,7682.0,2909.0,1.0
K55101CH6269,0.077,0.045,-0.009,0.157,0.001,0.0,7576.0,2828.0,1.0
K55105CH3411,0.176,0.09,0.017,0.36,0.001,0.001,7103.0,3176.0,1.0
K55234CJ0971,0.023,0.123,-0.197,0.269,0.002,0.002,6215.0,2461.0,1.0
K55234CJ0997,0.027,0.117,-0.199,0.244,0.001,0.002,8332.0,3082.0,1.0
K55105CK1592,0.075,0.074,-0.062,0.218,0.001,0.001,7734.0,2877.0,1.0
K55210CO3828,0.151,0.064,0.03,0.268,0.001,0.001,8134.0,3087.0,1.0
K55223CN9433,0.037,0.286,-0.491,0.573,0.003,0.005,8855.0,2918.0,1.0
K55364CF7048,0.265,0.091,0.096,0.438,0.001,0.001,7213.0,2890.0,1.0
K55240CP8176,0.047,0.025,-0.0,0.093,0.0,0.0,8809.0,2734.0,1.0
K55206CQ7351,0.093,0.164,-0.209,0.408,0.002,0.002,7175.0,3192.0,1.0
K55232C99568,0.299,0.295,-0.268,0.834,0.004,0.003,7019.0,3133.0,1.0
K55101BY3944,0.026,0.047,-0.059,0.12,0.001,0.001,7263.0,2858.0,1.0
K55232C70460,0.064,0.129,-0.205,0.287,0.001,0.002,7283.0,2492.0,1.0
K55301CW6482,0.133,0.32,-0.477,0.743,0.004,0.005,7998.0,2616.0,1.0
K55306CV9946,-0.044,0.058,-0.152,0.064,0.001,0.001,7391.0,3025.0,1.0
K55101CU1644,0.093,0.071,-0.041,0.227,0.001,0.001,7474.0,2430.0,1.0
K55210C28001,0.21,0.349,-0.472,0.859,0.004,0.005,7628.0,2889.0,1.0
K55306CW0001,-0.045,0.053,-0.141,0.054,0.001,0.001,8213.0,3115.0,1.0
K55210CY1002,0.053,0.028,0.001,0.107,0.0,0.0,6805.0,3076.0,1.0
K55301CQ5219,-0.163,0.161,-0.464,0.156,0.002,0.002,7841.0,2619.0,1.0
K55307D06041,0.739,0.162,0.444,1.048,0.002,0.001,7029.0,2859.0,1.0
K55307D05134,0.465,0.177,0.149,0.814,0.002,0.002,6720.0,2913.0,1.0
K55101BT5797,0.026,0.059,-0.085,0.135,0.001,0.001,8241.0,2911.0,1.0
K55214BU9535,0.07,0.029,0.016,0.127,0.0,0.0,8129.0,2995.0,1.0
K55234BZ0204,0.058,0.024,0.011,0.102,0.0,0.0,5996.0,3161.0,1.0
K55105BU5964,0.069,0.093,-0.101,0.252,0.001,0.001,5228.0,2733.0,1.0
K55105BU7648,0.246,0.074,0.105,0.383,0.001,0.001,5204.0,2882.0,1.0
K55105BV3695,-0.051,0.289,-0.592,0.47,0.004,0.005,4901.0,2770.0,1.0
K55223BU8809,0.132,0.057,0.026,0.239,0.001,0.001,5874.0,3002.0,1.0
K55223BV4542,0.193,0.477,-0.762,1.038,0.007,0.007,4277.0,2568.0,1.0
K55229BU7193,0.051,0.156,-0.247,0.337,0.002,0.002,5589.0,2807.0,1.0
K55301BV2426,0.632,0.288,0.099,1.177,0.004,0.003,5318.0,3013.0,1.0
K55301BW1138,0.052,0.162,-0.243,0.362,0.002,0.002,5160.0,2966.0,1.0
K55301BX0493,0.143,0.535,-0.874,1.129,0.007,0.008,5231.0,2560.0,1.0
